character	reading	class	reference	encoding	usage
勌	quần				quần thảo, quần vợt
𠡰	quần				quần quật
裙	quần				quần áo, quần lót
群	quần				quần chúng, quần thể, quần đảo, hợp quần, quây quần, quần tụ
𦄻	quắn				đau quắn
𠹴	quằn				quằn quại, quằn quẹo, lưỡi dao bị quằn
𤹓	quằn				quằn quặn
窘	quẫn				quẫn bách, cùng quẫn, khốn quẫn
管	quản				quản bút, bảo quản, quản lí, phế quản, cai quản, chẳng quản khó nhọc
𨆤	quẩn				quanh quẩn
郡	quận				quận Cầu Giấy, quận công
㴫	quặn				cái quặn
𤹓	quặn				đau quặn, quặn đau trong lòng
光	quang				quang hợp, quang học, quang minh, phản quang, quang đãng
桄	quang				quang gánh
胱	quang				bàng quang
𥆄	quáng				quáng mắt, quáng gà, quáng đèn
嘓	quàng				quàng quạc
𫏈	quàng				quàng vào, quềnh quàng
挄	quăng				quăng ném, quăng lưới, loăng quăng
𧈽	quăng				bọ quăng
壙	quãng				cách quãng, đứt quãng, ngắt quãng, quãng tám
廣	quảng				quảng cáo, quảng trường, quảng đại
癀	quảng				sâu quảng
𪠢	quẳng				quẳng đi, quẳng ra ngoài cửa
挄	quạng				quờ quạng
礦	quặng				quặng sắt, cái quặng, quặng phe-rít
𨒺	quanh				quanh co, loanh quanh, chung quanh, vây quanh
𡃅	quanh				quanh quánh
𡃅	quánh				quanh quánh
𣔲	quạnh				hiu quạnh, cô quạnh
夐	quạnh				quạnh quẽ
𫽿	quào				quào cấu
𣌵	quắp				quắp lấy, co quắp
彶	quặp				râu quặp, quặp vào, chân tay quặp lấy cành cây
括	quát				khái quát, tổng quát
聒	quát				quát tháo, quát mắng
橘	quất				quả quất, việt quất
繘	quất				quất roi, quanh quất
𢯔	quắt				quắt queo, quắt lại, héo quắt, mặt quắt
橛	quạt				cái quạt, quạt điện, máy quạt gió
倔	quật				quật cường
𠡰	quật				quật ngã, quần quật
掘	quật				khai quật
崛	quật				quật khởi
䠇	quặt				quặt quẹo, bẻ quặt
㗕	quàu				quàu quạu
㗕	quạu				quàu quạu
𢮿	quay				quay xe, gà quay, vòng đu quay
𫏓	quày				quày quã
拐	quây				quây quẩy
𡇸	quây				quây quần
撌	quấy				quấy phá, quấy rối, quấy quá
柜	quầy				quầy sách, quầy báo
𠏺	quẫy				quẫy đạp, cá quẫy, quẫy cựa, Quẫy lên nào!
拐	quảy				quảy xách, quảy gánh
拐	quẩy				
鬼	quẩy				dầu cháo quẩy
揆	quậy				cựa quậy
槻	que				que củi, xỏ lá ba que
㹟	qué				gà qué
𨆠	què				què chân, què quặt, què cụt
圭	quê				quê hương, quê mùa
揆	quẽ				quạnh quẽ
桂	quế				cây quế, nguyệt quế, nhục quế
𩱻	quẻ				quẻ bói, giở quẻ
蹶	quệ				kiệt quệ, quệ sức
㨯	quệch				quệch quạc
慣	quen				quen thuộc, quen biết, quen nhau, thói quen
𤷄	quèn				quèn quèn
悁	quên				quên mất, quên ơn, quên lãng
瓊	quềnh				quềnh quàng
𨙍	queo				cong queo, quăn queo
撟	quéo				quanh quéo
𢳙	quẹo				quẹo cổ, quẹo tay trái
𢭯	quét				quét dọn, càn quét
抉	quẹt				diêm quẹt, va quẹt, quẹt qua quẹt lại
鴃	quẹt				chim quẹt
𢯵	quệt				quệt nước mắt, thuốc cao quệt vào giấy
僑	quều				quều quào
撾	quơ				quơ gậy, quơ quậy, quơ củi, bâng quơ
捰	quờ				quờ quạng
𠵩	quở				quở mắng, quở quang, quở trách
國	quốc				quốc tịch, quốc tế
皈	quy				quy y
規	quy				quy tắc, quy mô, quy định, quy luật, quy củ
龜	quy				kim quy
歸	quy				quy thuộc, vu quy, chung quy, quy nạp, đương quy, vinh quy
季	quý				tứ quý, xuân quý, ngân sách của một quý
癸	quý				Quý Mùi, Quý Hợi
貴	quý				quý giá, quý báu, yêu quý, phú quý, tôn quý
葵	quỳ				giấy quỳ, hoa quỳ
跪	quỳ				quỳ xuống, quỳ gối
軌	quỹ				quỹ đạo
櫃	quỹ				ngân quỹ, thủ quỹ, quỹ tiết kiệm
鬼	quỷ				ác quỷ, ma quỷ, quỷ sứ
詭	quỷ				quỷ quyệt
跪	quỵ				đột quỵ, quỵ luỵ, ngã quỵ
捐	quyên				quyên sinh, lạc quyên
娟	quyên				thuyền quyên
鵑	quyên				đỗ quyên
眷	quyến				gia quyến, quyến rũ
拳	quyền				đánh quyền, thái cực quyền
權	quyền				quyền lực, quyền bính, chủ quyền
卷	quyển				quyển sách
圈	quyển				khí quyển
倦	quyện				khốn quyện, tuổi già sức quyện
䊎	quyện				hoà quyện, quấn quyện, quyện vào nhau, mật quyện vào đũa
決	quyết				quyết định, quyết đoán, quyết liệt
訣	quyết				khẩu quyết, bí quyết
譎	quyệt				quỷ quyệt
𢷳	quýnh				lính quýnh
瓊	quỳnh				quỳnh tương, quỳnh dao, hoa quỳnh
桔	quýt				quýt đường
𢵮	quýt				quấn quýt
𧷾	quỵt				ăn quỵt
𤄷	ra				người Ra Gơ-lai (Glai)
𫥨	ra				sinh ra, ra đi, ít ra
筥	rá				cà rá
𦚐	rà				rầy rà
𦳃	rà				rườm rà
攞	rà				rà soát, rà rẫm
沲	rã				ròng rã, rã rời
𤄷	rả				rả rích
𬓰	rạ				rơm rạ, chết như ngả rạ, con rạ
𧅫	rác				đổ rác
𢳯	rắc				răng rắc, gieo rắc
𫄈	rạc				bệ rạc
𧛊	rách				áo rách, rách rưới, róc rách
瀝	rạch				rạch ra, rạch ròi, kênh rạch, Rạch Giá
淶	rai				Giá Rai
𡃄	rai				lai rai
𢘽	rái				
獺	rái				con rái, rái cá
來	rài				rạc rài
𠸤	rãi				rộng rãi
𢱛	rải				rải rác, rải chông
撘	ram				ram ráp
諃	ràm				càm ràm
𩂐	râm				
菻	răm				rau răm
𫁞	răm				răm rắp
稔	rấm				rấm na, rấm chuối, rấm bếp, rấm rứt, rấm thóc giống
梣	rầm				trên rầm nhà
摺	rầm				rầm rập
𠽍	rầm				rầm rầm
𫄊	rắm				rối rắm
𦝃	rằm				ngày rằm, trăng rằm
𢬶	rẫm				rà rẫm
𡀫	rẩm				rên rẩm
𧓦	rạm				con rạm, rạm đồng
葚	rậm				rừng rậm
𤌣	ran				ran rát
灡	ran				râm ran, sấm ran
炟	rán				bánh rán, gà rán
𢪉	rân				rân rấn
灡	rân				dạ rân
噒	răn				răn đe
𢪉	rấn				rân rấn
𠻤	rần				rần rần, rần rật
𰧄	rắn				thể rắn, rắn chắc
𧋻	rắn				rắn độc, rắn lục
𢒞	rằn				rằn ri
䃹	rạn				rạn nứt
𧎠	rận				con rận, chấy rận
郎	rang				Phan Rang
烊	rang				rang nấu, rang muối
朗	rang				rang rảng
𠡧	ráng				ráng sức
蓢	ráng				rau ráng
𩅜	ráng				ráng chiều
𤉜	ràng				rõ ràng
𦀾	ràng				ràng buộc, ràng rịt
𤎜	ràng				ràng rạng
𢳯	răng				răng rắc
𪘵	răng				tăm xỉa răng
哴	rằng				cho rằng, rằng là
朗	rảng				rang rảng
𤎜	rạng				rạng rỡ
𫭧	rặng				rặng cây, rặng núi
𩲵	ranh				ranh con, ranh ma
𭩹	ranh				ranh giới
炩	rành				rành mạch, rành rành, rành rọt
汫	rãnh				rãnh nước, ngòi rãnh
𣇝	rảnh				rảnh rỗi
咬	rao				rêu rao
𣋝	ráo				tạnh ráo, ráo hoảnh
梍	rào				rào rạo
滛	rào				lội qua rào, mưa rào, rào rào
樔	rào				hàng rào, rào cản, rào chắn
𨀼	rảo				rảo bước
𰛴	rạo				rạo rực, rệu rạo
梍	rạo				đóng rạo, cắm rạo giữa ngòi
撘	ráp				lắp ráp
𢺎	ráp				ráp rạp
𫁞	rấp				rấp ngõ, rấp đường, cái rấp chuột, mới đầu năm đã rấp
𫁞	rắp				rắp ranh
𠪸	rạp				rạp phim, rạp tuồng
𢺎	rạp				rạp xuống
摺	rập				rập khuôn, rình rập
𤌣	rát				bỏng rát
窒	rất				rất nhiều, rất tốt
㗭	rắt				đái rắt, réo rắt
㗚	rật				rần rật
𮞿	rặt				chợ rặt những cam, nói rặt tiếng miền Trung
𠸫	rau				rau ráu
蔞	rau				rau cải
膮	rau				
𠸫	ráu				rau ráu
𩯁	râu				mày râu
𱟓	rầu				buồn rầu
倈	ray				ray rứt, ray đầu, đường ray
𤀕	ráy				ráy tai, cứt ráy, rửa ráy
𫈨	ráy				khoai ráy, củ ráy, ráy ngót
𣈙	rày				từ rày về sau
逨	rầy				đường rầy
𣈙	rầy				
𧍍	rầy				con rầy
誺	rầy				rầy rà, rầy rật, la rầy
𡵆	rẫy				nương rẫy, đầy rẫy
𧿆	rẫy				rẫy vợ
䟢	rẫy				
𢝚	rẩy				rẩy nước, run rẩy
𢩽	rạy				rọ rạy
提	re				im re
𥗍	rè				rụt rè
黎	rê				rủ rê
𥘶	rẽ				chia rẽ, rẽ tóc, đường rẽ
𣾸	rề				rề rà, rề rề
𱿆	rễ				rễ cây, mọc rễ
𱞁	rẻ				rẻ tiền
婿	rể				con rể, chú rể
藶	rếch				rếch rác, thưa rếch
簾	rèm				rèm cửa
褳	ren				rối ren, đường viền bằng ren
𨅍	ren				ren rén
𨅍	rén				rón rén
𠺅	rèn				rèn rẹt
㷙	rèn				lò rèn, rèn luyện
𫫣	rên				rên rỉ, rên siết
𡃚	rền				láy rền, rền vang, rền rĩ, sấm rền
𠴔	rênh				
嗂	reo				reo cười, thông reo
𠰉	réo				réo lên, kêu réo, réo gọi
𠮩	rèo				rèo rẹo
𠮩	rẹo				rẹo rọc
躐	rẹp				rẹp xuống
𧉼	rệp				con rệp
洌	rét				giá rét
𧏲	rết				con rết, rắn rết
𠺅	rẹt				rèn rẹt
𤍅	rệt				rõ rệt
𦼔	rêu				rong rêu
洮	rệu				mục rệu, rệu rạo, trái cây rệu
𠶋	ri				khóc như ri, Xi-ri (Syria)
哩	ri				ri rí
鴺	ri				gà ri
哩	rí				rí rách
荑	rì				chậm rì, xanh rì, rì rì
㐶	rĩ				rầu rĩ, rền rĩ, rĩ rà rì rầm
𠯇	rỉ				rỉ tai, rủ rỉ, ri rỉ, rỉ rả
釲	rỉ				rỉ sét
𩮭	ria				râu ria
紒	rìa				bên rìa, chầu rìa, ngoài rìa
𠹼	rỉa				rỉa rói, rỉa lông
地	rịa				Bà Rịa
哋	rịa				bát rịa
嚦	rích				rúc rích, rả rích
𤃝	rịch				rục rịch
𥢆	riêng				riêng tư, riêng rẽ, của riêng
𦵄	riềng				củ riềng
𦄃	riết				ráo riết
燫	rim				rim thịt
𤢾	rím				
挒	rin				rin rít
湅	rịn				rịn mồ hôi, bịn rịn
揁	rinh				rung rinh
侱	rình				rình rập, khai rình
珵	rỉnh				rủng rỉnh
𣋑	ríp				cơ-ríp-tôn
喋	rịp				rộn rịp
挒	rít				ríu rít, kêu rít
𧏲	rít				
𦀎	rịt				ràng rịt
簝	riu				riu riu, đẩy riu bắt tép
𠲢	ríu				líu ríu, ríu rít
𠠙	rìu				búa rìu
𧀓	ro				ro ró
𬰹	ro				rủi ro
𧀓	ró				ro ró
𢲛	rò				rò rỉ, cò rò
鱸	rô				cá rô
𤑟	rõ				rõ ràng, rõ rệt
𤸭	rồ				điên rồ
𦢞	rỗ				mặt rỗ
𠴊	rơ				Rơ Măm
𥶇	rổ				cái rổ, bóng rổ
𥱨	rọ				rọ mõm, rọ lợn
𢵽	rớ				cất rớ, rớ đến
𢮀	rờ				
𠒦	rờ				rờ rỡ
𠒦	rỡ				rạng rỡ, mừng rỡ
𭍆	rộ				rộ lên, nở rộ, rầm (rần) rộ
𤞪	rợ				man rợ
𢮑	róc				róc vỏ, róc rách
逳	rốc				đánh rốc, kéo rốc đi
蜟	rốc				canh cua rốc
轆	rọc				ròng rọc
𪟆	rọc				rọc giấy
淯	rộc				ruộng rộc
檑	roi				quất roi, cây roi
𩽊	rói				tươi rói, hoa cúc vàng rói, mái ngói đỏ rói
𠛨	ròi				rạch ròi
𦇒	rối				bối rối, con rối, rối rít
耒	rồi				làm rồi, cái bát bị bể rồi
𡂳	rỗi				cứu rỗi
磊	rỏi				rắn rỏi
淶	rơi				rơi xuống, rơi rớt
燴	rọi				rọi đèn, chiếu rọi, rọi sáng, soi rọi
𨖨	rời				rời khỏi, rời bỏ, rời tay, rụng rời
灑	rời				rời rợi
灑	rợi				rời rợi
𧐽	róm				sâu róm
𩫦	rôm				rôm rả, nói rôm
𤼓	rôm				rôm sảy, phấn rôm
𠼖	rỏm				rí rỏm
滲	rơm				rơm rớm
稴	rơm				nấm rơm
𧖐	rọm				sâu rọm
滲	rớm				rơm rớm
𠼖	rởm				thói rởm, ăn mặc rởm
蹾	rón				rón rén
噎	rôn				rôn rốt
𦠆	rốn				cái rốn, chôn rau cắt rốn, ngồi rốn lại
𣼸	rơn				rơn rớt
涎	rờn				rập rờn
囒	rờn				rờn rợn
𠾽	rộn				rộn rịp
𡀷	rộn				bận rộn
囒	rợn				rùng rợn
苳	rong				rong rêu
𨀐	rong				hát rong, rong chơi, quầy hàng rong
弄	róng				riết róng
𠖿	ròng				ròng rã, chảy ròng ròng
轆	ròng				ròng rọc
𠹍	rông				rông rổng
㗢	rống				bò rống
蠬	rồng				vòi rồng, đậu rồng, mình rồng
筩	rỗng				trống rỗng, thùng rỗng kêu to
𠹍	rổng				rông rổng
㢅	rộng				mở rộng, rộng lượng, rộng rãi
爉	rốp				rốp bỏng
㷝	rộp				da phồng rộp
𩄓	rợp				rợp bóng, cờ đỏ rợp trời
𣹕	rót				rót nước
噎	rốt				rôn rốt
𡳝	rốt				rốt cuộc, sau rốt
𦛌	rọt				
𤈠	rọt				rành rọt
溧	rớt				rơi rớt
𣼸	rớt				rơn rớt
𠱋	ru				hát ru
𧀓	ru				ru rú
𧀓	rú				rừng rú, lên rú chặt củi
𡀿	rú				mừng rú, sói rú
㾄	rù				cù rù
揄	rũ				quyến rũ
癒	rũ				cú rũ, ủ rũ
𢷀	rủ				rủ lòng, rủ xuống, rủ rê, rủ rỉ
俞	rua				tua rua
𧒍	rùa				con rùa, mai rùa
嚕	rủa				nguyền rủa
呂	rưa				rưa rứa
呂	rứa				rưa rứa
𦛗	rữa				mục rữa, rữa nát, thối rữa
𣳮	rửa				rửa tay, rửa tiền
𨮌	rựa				dao rựa, đực rựa
唷	rúc				rúc rích
濁	rục				rục rịch
𪵫	rức				rưng rức
熤	rực				rừng rực, rạo rực
榱	rui				rui mè
𢤡	rủi				rủi ro, may rủi, dun rủi
藞	rụi				tàn rụi, cây rụi, cháy rụi
揕	rúm				co rúm
𠾣	rùm				rùm beng
𧉙	run				
憞	run				rét run, run cầm cập
𦠆	rún				
噋	rủn				bủn rủn, rủn chí
𢫝	rung				rung cảm, rung lắc, rung rinh
唷	rung				rung rúc
佣	rúng				bị rúng tinh thần, rẻ rúng
挏	rùng				rùng mình
𬫉	rủng				rủng rỉnh
㖫	rưng				mừng rưng nước mắt, rưng rưng nước mắt
𪵫	rưng				rưng rức
苚	rụng				lá rụng, rơi rụng, rụng rời
𡹃	rừng				rừng rậm, rừng thưa
熤	rừng				rừng rực
𢘩	rửng				rửng mỡ
𧌸	ruốc				ruốc thịt, mắm ruốc
逴	rước				rước vào, rước dâu
𧋆	ruồi				nốt ruồi, ruồi xanh, ong ruồi
𩧍	ruổi				ruổi ngựa
𢱓	rưới				rách rưới
洟	rười				rười rượi
𥙪	rưỡi				một đồng rưỡi, một tháng rưỡi
𥙪	rưởi				
洟	rượi				mát rượi, rũ rượi, rười rượi, hoa vàng rượi
滲	rươm				rươm rướm
滲	rướm				rướm máu, rươm rướm
薝	rườm				lời rườm, rườm rà
𪡍	rướn				rướn lên, rướn cổ
淖	rườn				rườn rượt
𢗆	rượn				rượn chơi
拥	ruồng				ruồng bỏ
𠳀	ruỗng				mục ruỗng, ruỗng nát
𬏇	ruộng				đồng ruộng
樑	rường				chống rường, nhà rường, rường cột
𦛌	ruột				sốt ruột
𧺕	rượt				rượt theo, rượt kẻ trộm
淖	rượt				rườn rượt
𨢇	rượu				uống rượu, nhắm rượu
捽	rút				rút dao, rút lui
𫉡	rút				rau rút, vi-rút
揬	rụt				rụt rè
𢲼	rứt				bứt rứt, cắn rứt, rứt ruột
沙	sa				sa mạc, sa trường, sa thạch, phù sa, hoàng sa, cần sa
砂	sa				chu sa, đan sa
紗	sa				vải sa, sa hoa, sa trơn, áo sa
裟	sa				cà sa
蹉	sa				sa ngã, sa cơ, sa vào bẫy
圫	sá				đường sá
詫	sá				sá gì
蹉	sà				sà xuống
咤	sã				sã suồng
𦲺	sả				lá sả, cỏ sả
𪀎	sả				chim sả
𪮈	sả				sả thịt, sả hành, sa sả
拃	sạ				sạ lúa
槊	sác				sớn sác
色	sắc				màu sắc, xuất sắc, nhan sắc, súc sắc, khoe sắc
敕	sắc				sắc lệnh, sắc phong
嗇	sắc				bỉ sắc tư phong
銫	sắc				sắc bén, dấu sắc, sắc thuốc
𪁅	sắc				chim sắc
𠲅	sạc				bin (pin) sạc
嗾	sặc				sặc sụa, chết sặc
冊	sách				sách vở, sách giáo khoa
索	sách				sách nhiễu, sách dẫn
策	sách				sách lược, chính sách
滌	sạch				sạch sẽ, quét sạch, sạch sành sanh
差	sai				sai lầm, sai phân, sai số, sai khiến
𡗂	sai				sai quả
灑	sái				tiêu sái
𫪱	sái				sái tay, làm sái, sái nước
柴	sài				sài hồ, sài môn, Sài Gòn, sơ sài
豺	sài				sài lang
㾹	sài				bệnh sài, sài kinh
𠇈	sãi				sãi vãi
庹	sải				sải tay, sải cánh
杉	sam				vân sam
蔘	sam				rau sam
𧑁	sam				con sam, đuôi sam
懺	sám				sám hối
謲	sàm				sàm sỡ
讒	sàm				sàm ngôn
參	sâm				nhân sâm, hải sâm, sương sâm
森	sâm				Trịnh Sâm, sâm-banh (panh)
𩅙	sâm				sâm sẩm
墋	săm				nhà săm
𥊀	săm				săm soi, săm sưa
𩆐	sấm				sấm chớp
讖	sấm				sấm truyền
岑	sầm				sầm uất
岑	sầm				tối sầm
𭰪	sầm				mưa sầm sập
攕	sắm				mua sắm, sắm sanh
湛	sẫm				xanh sẫm
𩅙	sẩm				sẩm màu, sẩm tối, sến sẩm
湛	sậm				sậm màu, đỏ sậm
刊	san				nguyệt san
珊	san				san hô
滻	san				san bằng, san phẳng, san sẻ
擦	san				san sát
汕	sán				Sán Chay, Sán Dìu
疝	sán				bệnh sán, giun sán
赸	sán				sán lại
燦	sán				sán lạn
孱	sàn				nhà sàn, sàn sàn
𥖔	sàn				sàn sạn
𡑝	sân				sân vườn, sân vận động
𤜬	săn				đi săn, săn bắn, báo săn, chó săn
瑟	săn				săn sắt
𢕸	săn				săn sóc, săn đón
趁	sấn				sấn sổ
莘	sần				sần da, sần sùi, khoai sần, vải xấu sần
栗	sần				sần sật
𦼛	sắn				bột sắn, củ sắn
𠻿	sẵn				sẵn sàng, sẵn tiện
產	sản				sản phẩm, sản xuất, sinh sản
棧	sạn				khách sạn
𥖔	sạn				hạt sạn, sạn mặt
𨖅	sang				sang năm, sang tiệm, sang sông, sửa sang
𢀨	sang				sang trọng, cao sang, sang sảng
搶	sang				sang đoạt
𤏬	sang				sang sáng
創	sáng				sáng tạo, sáng tác, sáng lập
𤏬	sáng				buổi sáng, sáng tỏ, trong sáng, sáng suốt, sáng chói
牀	sàng				lâm sàng, long sàng
𠳹	sàng				sỗ sàng, sẵn sàng
𬕌	sàng				sàng lọc, sàng sảy
𤍎	sắng				sốt sắng
𦼃	sắng				rau sắng
爽	sảng				sảng khoái, hào sảng
𢀨	sảng				sang sảng
愴	sảng				mê sảng, nói sảng
生	sanh				
牲	sanh				tam sanh
栍	sanh				cây sanh
𠁔	sánh				so sánh, sánh đặc
𡊳	sành				âu sành
䲼	sảnh				con sảnh
廳	sảnh				sảnh đường, đại sảnh
抄	sao				sao lục, sao chép
炒	sao				sao thuốc
哰	sao				tại sao, vì sao, làm sao, cớ sao, không sao
𣒲	sao				cây sao
𣇟	sao				ngôi sao, chòm sao, siêu sao, sao mai
套	sáo				khách sáo, sáo ngữ, câu văn sáo
哨	sáo				sáo dài, ống sáo
𥱫	sáo				tấm sáo, bức sáo
𪄤	sáo				chim sáo
巢	sào				sào huyệt, yến sào, noãn sào
塙	sào				một sào
稍	sảo				sảo thai, cái sảo, sắc sảo
謅	sạo				nói sạo, sục sạo
鮹	sạo				cá sạo
插	sáp				sáp nhập
蠟	sáp				phấn sáp, sáp ong
䏠	sấp				nằm sấp, úp sấp, sấp giấy, sấp bạc, sấp hay ngửa?
𢯛	sắp				sắp xếp, sắp sửa
㯿	sạp				cái sạp, sạp rau
砬	sập				sập sùi
𭰪	sập				mưa sầm sập
剎	sát				sát na
殺	sát				sát hại, sát trùng, mưu sát
察	sát				cảnh sát, trinh sát, sát hạch, đốc sát, giám sát, quan sát
擦	sát				ma sát, bò sát, sát vách, ép sát, sát một bên, san sát
瑟	sắt				cầm sắt
鉄	sắt				sắt thép
呹	sạt				sạt lở, sạt nghiệp
栗	sật				sần sật
湥	sặt				sặt sành
𢖖󠄁	sau				tuần sau, trước sau
𦒹	sáu				sáu mươi, thứ sáu
漊	sâu				nước sâu, vực sâu
螻	sâu				sâu bọ
㮴	sấu				cây sấu
䱸	sấu				cá sấu
愁	sầu				sầu muộn, ưu sầu, u sầu
𣜷	sầu				ve sầu, sầu riêng, sầu đâu
醝	say				say sưa, vực người say về
傞	sây				sây sát
𤈇	sấy				sấy khô, sấy thịt
摨	sầy				
𢫟	sảy				sàng sảy, sảy gạo
𤵴	sảy				rôm sảy
𫽎	sẩy				sẩy chân, sơ sẩy, sẩy thai
𣐴	sậy				cây sậy, bãi sậy, chân như ống sậy
𤉖	se				se da, se mình
仕	sè				sè sẽ
茌	sè				sè sè, cay sè, sập sè
茌	sê				sum sê
仕	sẽ				việc sẽ đến, sẽ làm như vậy, sạch sẽ
胒	sề				sồ sề
𢩿	sẻ				chia sẻ, san sẻ
𪀆	sẻ				chim sẻ
䐭	sệ				bệ sệ
呎	séc				tấm séc, Cộng hoà Séc
呎	sếch				
𤑯	sém				cháy sém
饞	sèm				
蓮	sen				ngó sen, tắm hoa sen, con sen
﨡	sên				ốc sên
𣞶	sến				cây sến, gỗ sến, sến sẩm, sến súa
𣻂	sền				sền sệt
㦃	sẻn				dè sẻn, sẻn so
盛	sển				Vương Hồng Sển
浧	sềnh				lềnh sềnh
井	sểnh				sổng sểnh
𡁼	sèo				eo sèo
𤵪	sẹo				vết sẹo
𠊔	sếp				sếp cứ đùa hoài!
𰜺	sệp				
𡏥	sét				rỉ sét
𩂶	sét				sấm sét
𣻂	sệt				đặc sệt, sền sệt, sợ sệt, lệt sệt
䳂	sếu				chim sếu
差	si				sâm si
魑	si				si mị võng lượng
癡	si				si tình, si mê, ngu si
𬃗	si				cây si
𪐢	sì				đen sì
嚏	sì				sù sì
士	sĩ				kẻ sĩ, quân sĩ, bác sĩ, nhạc sĩ, sĩ diện
恥	sỉ				sỉ nhục
𢱟	sỉ				bán sỉ
𨀋	sỉa				sỉa chân, sỉa răng, sưng sỉa
𨇗	sịch				sình sịch
𠡏	siêng				siêng năng
切	siết				siết chặt, rên siết
超	siêu				siêu cấp, siêu việt, siêu thị, cao siêu
銚	siêu				siêu đất, siêu thuốc, múa siêu
槮	sim				cây sim
吀	sin				sin sít
生	sinh				sinh viên, sinh mệnh, diêm sinh, sinh dục
牲	sinh				hi sinh
逞	sính				sính ngoại, sính kiểu Pháp
聘	sính				sính lễ
脭	sình				sình bụng, sình sịch
生	sỉnh				soát sỉnh
𰈤	síp				
𬿺	sít				vừa sít, sin sít
哳	sịt				sụt sịt
𡦅	so				con so
𬧺	so				so sánh, so le
𧎷	sò				sò điệp
縐	sô				vải sô, sô gai, chạy sô, sô diễn
數	số				hàm số, số phận
粗	sồ				sồ sề
𡂡	sỗ				sỗ sàng
𨯃	sỏ				đầu sỏ, sỏ tên
初	sơ				sơ sơ, sơ thẩm, sơ bộ, sơ sinh, sơ đẳng, sơ cấp
疏	sơ				đơn sơ, sơ sài, sơ tán, sơ yếu, sơ ý, sơ nồi cơm
擻	sổ				cửa sổ, sổ tên, chim sổ lồng, câu văn bị sổ
籔	sổ				cuốn sổ, ghi sổ, sổ gửi tiền, sổ sách
𩪵	sọ				sọ người, hộp sọ
疏	sớ				dâng sớ
𢮀	sờ				sờ mó
𣻄	sờ				nông sờ, sờ sờ, sững sờ
𬾟	sỡ				sàm sỡ, sặc sỡ
數	sộ				đồ sộ
所	sở				xứ sở, sở thích, sở dĩ, sở hữu, sở trường
楚	sở				khổ sở, cây sở
礎	sở				cơ sở
𢜝	sợ				sợ hãi, e sợ, sợ sệt
叉	sòa				sùm sòa
帥	soái				thống soái
𣻑	soài				sõng soài
膗	soài				sóng soài
篡	soán				soán ngôi, soán đoạt, soán nghịch
撰	soạn				sửa soạn, biên soạn, soạn giả
饌	soạn				thịnh soạn
鏯	soảng				
𪮡	soạng				sờ soạng
詧	soát				kiểm soát, soát xét
嚓	soạt				sột soạt
朔	sóc				sóc vọng, sóc phong, Sóc Trăng
𤠕	sóc				con sóc, sóc chuột
𥉮	sóc				săn sóc, chăm sóc
傗	sốc				gây sốc, sốc phản vệ
𩺯	sốc				cá sốc
𪟄	sọc				sọc vải
𤐝	soi				soi gương, soi rọi
𪤠	soi				soi dâu
𤢿	sói				chó sói
㰁	sói				hoa sói
𩯹	sói				sói đầu
𤉚	sôi				nước sôi, dầu sôi
誄	sõi				nói sõi
𦆙	sồi				áo sồi, vải sồi, cửa gỗ sồi
𩟬	sồi				
礌	sỏi				sỏi đá, sành sỏi
𩟬	sổi				ăn sổi
𤴶	sởi				bệnh sởi
𥾘	sợi				sợi tóc
攙	sóm				sóm sém
攙	sòm				sòm sọm
嚵	sòm				om sòm
𣋽	sơm				sơm sớm
攙	sọm				sòm sọm
𣋽	sớm				sớm chiều, lúa sớm
謲	sờm				sờm sỡ
𣘈	son				phấn son, vàng son, son phấn, lầu son, son sắt, lòng son
侟	sòn				sòn sòn
𠸂	sồn				sồn sột
山	sơn				sơn thuỷ, sơn dương, giang sơn
杣	sơn				cây sơn, keo sơn
汕	sớn				sớn sác
𦠳	sờn				sờn rách, sờn lòng, sờn chí
摌	sởn				sởn sơ, sởn tóc gáy
笙	song				song lang
窻	song				song cửa, song hồ, chấn song
雙	song				song le
雙	song				song phương, song hỉ, song ngữ, song sinh, song song
𧄐	song				ghế song
𩽧	song				cá song
㳥	sóng				con sóng, sóng trào
𣙩	sòng				gàu sòng, sòng bạc, nói sòng, sòng phẳng, lộn sòng
𪟄	sòng				sòng sọc
瀧	sông				sông cửu long, sông hồng, sông hương
㳥	sõng				sõng soài
𦪃	sõng				chiếc sõng
𤯩	sống				sinh sống, đời sống, cơm sống
𩩖	sống				xương sống, sống mũi
𪟤	sống				sống mái
椶	sồng				cây sồng, nâu sồng
寵	sổng				sổng sểnh
𣙫	sộp				cây sộp
𩻒	sộp				cá sộp
𨔊	sót				sót lại
焠	sốt				sốt ruột, nóng sốt
箻	sọt				cái sọt, đan sọt tre
叱	sớt				sớt chia
𠸂	sột				sột soạt
蒭	su				cao-su
漊	su				
螻	su				
𰈸	sù				
𣭃	sù				sù sì
師	sư				sư thầy, giáo sư, mục sư
獅	sư				sư tử, hải sư
樗	sư				sư thụ
𰈸	sụ				to sụ, giàu sụ, sù sụ
使	sứ				đại sứ, sứ mệnh, sứ thần, thiên sứ
𣐳	sứ				hoa sứ
瓷	sứ				đồ sứ, bát sứ
史	sử				lịch sử, sử học, sử sách
使	sử				sử dụng
事	sự				sự kiện, lịch sự
咵	súa				sến súa
𡂡	sủa				chó sủa, sáng sủa
疎	sưa				
𫑺	sưa				say sưa
