character	reading	class	reference	encoding	usage
白	bạc	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A1c#Etymology_1_2	U+767D	tiền bạc, vàng bạc, đầu bạc
薄	bạc	【汉】		U+8584	phụ bạc, bội bạc, bạc phếch, bạc bẽo
礴	bạc	【汉】		U+7934	bàng bạc
踾	bậc	【音】	https://en.wiktionary.org/wiki/b%E1%BA%ADc	U+8E3E	cấp bậc, vượt bậc, một bậc thánh nhân
百	bách	【汉】		U+767E	bách hợp, bách khoa, bách hoá, bách tính
迫	bách	【汉】		U+8FEB	cấp bách, bức bách, quẫn bách
白	bách	【非】	https://en.wiktionary.org/wiki/s%E1%BA%A1ch_b%C3%A1ch	U+767D	sạch bách
柏	bách	【汉】		U+67CF	tùng bách, bách tán
八	bạch	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A1ch_tu%E1%BB%99c	U+516B	bạch tuộc
白	bạch	【汉】		U+767D	bạch kim, minh bạch, biện bạch, tách bạch
	bạch	【声】			lạch bạch, bạch bạch, vỗ bì bạch
	bai	【声】			chê bai, bẻ bai
沛	bái	【汉】		U+6C9B	Yên Bái
拜	bái	【汉】		U+62DC	sùng bái, bái biệt
俳	bài	【汉】		U+4FF3	bài cú
排	bài	【汉】		U+6392	bài tập, bài thơ, an bài, bài trừ, bài binh bố trận
牌	bài	【汉】		U+724C	kim bài, bài vị, bài bạc
罢	bãi	【汉】		U+7F62	bãi công, bãi binh
𪤄	bãi	【音】	https://en.wiktionary.org/wiki/b%C3%A3i#Etymology_1	U+2A904	bãi cát, bãi biển
敗	bại	【汉】		U+6557	đánh bại, bại lộ, lụi bại, thắng bại, bại tướng, hủ bại
𢵉	bám	【音】	https://en.wiktionary.org/wiki/b%C3%A1m	U+22D49	ăn bám
𨥧	băm	【音】	https://en.wiktionary.org/wiki/b%C4%83m#Etymology_1	U+28967	băm bổ, băm thịt, băm vằm, lang băm
𢶸	bấm	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A5m	U+22DB8	bấm chí, bấm bụng
𦡣	bầm	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A7m#Etymology_1	U+26863	tím bầm, bầm giập
𫲃	bầm	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A7m#Etymology_2	U+2BC83	bầm ra ruộng cấy bầm run
偘	bẫm	【音】	https://en.wiktionary.org/wiki/b%E1%BB%A5_b%E1%BA%ABm	U+5058	bụ bẫm, cho trâu ăn bẫm, vớ được món bẫm
禀	bẩm	【汉】		U+7980	bẩm báo, phú bẩm, lẩm bẩm
𠹰	bặm	【音】	https://en.wiktionary.org/wiki/b%E1%BA%B7m	U+20E70	bặm môi, bặm trợn
	bặm	【声】			bụi bặm
班	ban	【汉】		U+73ED	ban đêm, ban trưa, ban đầu, ban biên tập
𦶾	ban	【音】	https://en.wiktionary.org/wiki/ban#Etymology_2_9	U+26DBE	hoa ban, Ban Tây Bắc
頒	ban	【汉】		U+9812	ban cho, ban phát, bảo ban
癍	ban	【汉】		U+764D	sốt phát ban
半	bán	【汉】		U+534A	bán đảo, bắc bán cầu, bán sống bán chết
賣	bán	【訓】	https://en.wiktionary.org/wiki/b%C3%A1n#Etymology_2_4	U+8CE3	mua bán, bán hàng
𠴞	bàn	【音】	https://en.wiktionary.org/wiki/b%C3%A0n#Etymology_2_2	U+20D1E	bàn cãi, bàn bạc, bàn luận, bàn tán
槃	bàn	【汉】		U+69C3	niết bàn
磐	bàn	【汉】		U+78D0	bàn thạch
盘	bàn	【汉】		U+76D8	bàn là, bóng bàn, địa bàn, bàn cờ, bàn ghế
蟠	bàn	【汉】		U+87E0	bàn đào, bàn long
𠺚	băn	【音】	https://en.wiktionary.org/wiki/b%C4%83n_kho%C4%83n	U+20E9A	băn khoăn
𢏑	bắn	【音】	https://en.wiktionary.org/wiki/b%E1%BA%AFn#Vietnamese	U+223D1	bắn súng, bắn tin, bắn tên
摈	bấn	【汉】		U+6448	túng bấn
貧	bần	【汉】		U+8CA7	bần nông, bần cùng, bần thần
苹	bần	【非】	https://en.wiktionary.org/wiki/b%E1%BA%A7n#Etymology_1	U+82F9	cây bần
𣵲	bẩn	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A9n	U+23D72	bẩn thỉu, nhơ bẩn, cáu bẩn, keo bẩn
本	bản	【汉】	northern	U+672C	cơ bản, Nhật Bản
坂	bản	【音】	https://en.wiktionary.org/wiki/b%E1%BA%A3n#Etymology_2	U+5742	bản làng, bản xã
板	bản	【汉】		U+677F	mộc bản, bản lề
版	bản	【汉】		U+7248	xuất bản, bản thảo, tái bản
忙	bận	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%ADn#Etymology_1	U+5FD9	bận rộn, bận bịu, mỗi ngày hai bận
穿	bận	【訓】	https://en.wiktionary.org/wiki/b%E1%BA%ADn#Etymology_2	U+7A7F	ăn bận, bận áo
伴	bạn	【汉】		U+4F34	bạn bè, kết bạn, bạn cùng lớp
叛	bạn	【汉】		U+53DB	bạn nghịch
邦	bang	【汉】		U+90A6	tiểu bang, liên bang, phiên bang
帮	bang	【汉】		U+5E2E	cái bang, bang hội, bang phái
柄	báng	【非】	https://en.wiktionary.org/wiki/b%C3%A1ng#Etymology_3	U+67C4	cây báng, bột báng, báng súng
𤹔	báng	【音】	https://en.wiktionary.org/wiki/b%C3%A1ng#Etymology_2_2	U+24E54	báng nước
謗	báng	【汉】		U+8B17	phỉ báng
彷	bàng	【汉】		U+5F77	bàng hoàng
枋	bàng	【音】	https://en.wiktionary.org/wiki/b%C3%A0ng#Etymology_1	U+678B	cây bàng
䄱	bàng	【音】	https://en.wiktionary.org/wiki/b%C3%A0ng#Etymology_2	U+4131	cỏ bàng, cói bàng
	bàng	【声】			bẽ bàng, bộn bàng
膀	bàng	【汉】		U+8180	bàng quang
磅	bàng	【汉】		U+78C5	bàng bạc
庞	bàng	【汉】		U+5E9E	Hồng Bàng, họ Bàng
冰	băng	【汉】		U+51B0	đóng băng, băng giá, băng ông
崩	băng	【汉】		U+5D29	băng hà, băng giá, băng huyết, sao băng
繃	băng	【音】	https://en.wiktionary.org/wiki/b%C4%83ng#Etymology_2_2	U+7E43	băng bó, băng tay, đeo băng, ghế băng
𬫑	băng	【音】	https://en.wiktionary.org/wiki/nh%C3%A0_b%C4%83ng	U+2CAD1	nhà băng
𬦋	băng	【音】	https://en.wiktionary.org/wiki/b%C4%83ng#Etymology_3	U+2C98B	băng qua, tiêu băng, băng xăng, vượt suối băng ngàn
平	bằng	【汉】	northern	U+5E73	bằng nhau, đồng bằng, công bằng, bằng lòng, một cộng một bằng hai
朋	bằng	【汉】		U+670B	bằng hữu
憑	bằng	【汉】		U+6191	bằng chứng, văn bằng, chứng minh bằng sự thực
鵬	bằng	【汉】		U+9D6C	chim bằng
𢚚	bẵng	【訓】	https://vi.wiktionary.org/wiki/b%E1%BA%B5ng	U+2269A	bỏ bẵng, quên bẵng đi
𫺎	bâng	【音】	https://en.wiktionary.org/wiki/b%C3%A2ng_khu%C3%A2ng	U+2BE8E	bâng khuâng, bâng quơ
	bẫng	【声】			nhẹ bẫng
